;Version;Date_of_report;Date_of_statistics;IC_admission_notification;IC_admission
355;1;2022-02-03 00:30:00;2021-02-16;27;39
356;1;2022-02-03 00:30:00;2021-02-17;43;36
357;1;2022-02-03 00:30:00;2021-02-18;35;25
358;1;2022-02-03 00:30:00;2021-02-19;25;31
359;1;2022-02-03 00:30:00;2021-02-20;31;40
360;1;2022-02-03 00:30:00;2021-02-21;39;36
361;1;2022-02-03 00:30:00;2021-02-22;37;32
362;1;2022-02-03 00:30:00;2021-02-23;39;25
363;1;2022-02-03 00:30:00;2021-02-24;19;30
364;1;2022-02-03 00:30:00;2021-02-25;51;47
365;1;2022-02-03 00:30:00;2021-02-26;25;29
366;1;2022-02-03 00:30:00;2021-02-27;26;20
367;1;2022-02-03 00:30:00;2021-02-28;26;42
368;1;2022-02-03 00:30:00;2021-03-01;46;50
369;1;2022-02-03 00:30:00;2021-03-02;50;39
370;1;2022-02-03 00:30:00;2021-03-03;47;34
371;1;2022-02-03 00:30:00;2021-03-04;36;42
372;1;2022-02-03 00:30:00;2021-03-05;34;36
373;1;2022-02-03 00:30:00;2021-03-06;32;38
374;1;2022-02-03 00:30:00;2021-03-07;24;33
375;1;2022-02-03 00:30:00;2021-03-08;37;42
376;1;2022-02-03 00:30:00;2021-03-09;52;36
377;1;2022-02-03 00:30:00;2021-03-10;38;43
378;1;2022-02-03 00:30:00;2021-03-11;47;42
379;1;2022-02-03 00:30:00;2021-03-12;31;31
380;1;2022-02-03 00:30:00;2021-03-13;27;34
381;1;2022-02-03 00:30:00;2021-03-14;33;41
382;1;2022-02-03 00:30:00;2021-03-15;49;45
383;1;2022-02-03 00:30:00;2021-03-16;46;45
384;1;2022-02-03 00:30:00;2021-03-17;41;38
385;1;2022-02-03 00:30:00;2021-03-18;42;54
386;1;2022-02-03 00:30:00;2021-03-19;55;48
387;1;2022-02-03 00:30:00;2021-03-20;26;36
388;1;2022-02-03 00:30:00;2021-03-21;49;54
389;1;2022-02-03 00:30:00;2021-03-22;58;40
390;1;2022-02-03 00:30:00;2021-03-23;53;42
391;1;2022-02-03 00:30:00;2021-03-24;37;38
392;1;2022-02-03 00:30:00;2021-03-25;41;57
393;1;2022-02-03 00:30:00;2021-03-26;58;61
394;1;2022-02-03 00:30:00;2021-03-27;33;39
395;1;2022-02-03 00:30:00;2021-03-28;33;36
396;1;2022-02-03 00:30:00;2021-03-29;68;49
397;1;2022-02-03 00:30:00;2021-03-30;45;50
398;1;2022-02-03 00:30:00;2021-03-31;60;60
399;1;2022-02-03 00:30:00;2021-04-01;45;46
400;1;2022-02-03 00:30:00;2021-04-02;75;69
401;1;2022-02-03 00:30:00;2021-04-03;41;47
402;1;2022-02-03 00:30:00;2021-04-04;54;55
403;1;2022-02-03 00:30:00;2021-04-05;49;53
404;1;2022-02-03 00:30:00;2021-04-06;65;55
405;1;2022-02-03 00:30:00;2021-04-07;49;63
406;1;2022-02-03 00:30:00;2021-04-08;61;47
407;1;2022-02-03 00:30:00;2021-04-09;48;55
408;1;2022-02-03 00:30:00;2021-04-10;44;51
409;1;2022-02-03 00:30:00;2021-04-11;51;58
410;1;2022-02-03 00:30:00;2021-04-12;69;49
411;1;2022-02-03 00:30:00;2021-04-13;47;44
412;1;2022-02-03 00:30:00;2021-04-14;50;55
413;1;2022-02-03 00:30:00;2021-04-15;47;63
414;1;2022-02-03 00:30:00;2021-04-16;60;53
415;1;2022-02-03 00:30:00;2021-04-17;53;53
416;1;2022-02-03 00:30:00;2021-04-18;51;54
417;1;2022-02-03 00:30:00;2021-04-19;62;65
418;1;2022-02-03 00:30:00;2021-04-20;63;51
419;1;2022-02-03 00:30:00;2021-04-21;47;51
420;1;2022-02-03 00:30:00;2021-04-22;57;44
421;1;2022-02-03 00:30:00;2021-04-23;53;65
422;1;2022-02-03 00:30:00;2021-04-24;41;51
423;1;2022-02-03 00:30:00;2021-04-25;49;43
424;1;2022-02-03 00:30:00;2021-04-26;63;60
425;1;2022-02-03 00:30:00;2021-04-27;46;52
426;1;2022-02-03 00:30:00;2021-04-28;67;49
427;1;2022-02-03 00:30:00;2021-04-29;56;66
428;1;2022-02-03 00:30:00;2021-04-30;60;51
429;1;2022-02-03 00:30:00;2021-05-01;28;38
430;1;2022-02-03 00:30:00;2021-05-02;68;67
431;1;2022-02-03 00:30:00;2021-05-03;49;52
432;1;2022-02-03 00:30:00;2021-05-04;71;51
433;1;2022-02-03 00:30:00;2021-05-05;36;43
434;1;2022-02-03 00:30:00;2021-05-06;49;45
435;1;2022-02-03 00:30:00;2021-05-07;43;46
436;1;2022-02-03 00:30:00;2021-05-08;31;38
437;1;2022-02-03 00:30:00;2021-05-09;36;36
438;1;2022-02-03 00:30:00;2021-05-10;48;36
439;1;2022-02-03 00:30:00;2021-05-11;46;41
440;1;2022-02-03 00:30:00;2021-05-12;30;38
441;1;2022-02-03 00:30:00;2021-05-13;28;27
442;1;2022-02-03 00:30:00;2021-05-14;44;33
443;1;2022-02-03 00:30:00;2021-05-15;20;34
444;1;2022-02-03 00:30:00;2021-05-16;28;25
445;1;2022-02-03 00:30:00;2021-05-17;40;37
446;1;2022-02-03 00:30:00;2021-05-18;31;34
447;1;2022-02-03 00:30:00;2021-05-19;29;24
448;1;2022-02-03 00:30:00;2021-05-20;28;23
449;1;2022-02-03 00:30:00;2021-05-21;23;23
450;1;2022-02-03 00:30:00;2021-05-22;19;25
451;1;2022-02-03 00:30:00;2021-05-23;20;21
452;1;2022-02-03 00:30:00;2021-05-24;28;30
453;1;2022-02-03 00:30:00;2021-05-25;29;17
454;1;2022-02-03 00:30:00;2021-05-26;18;13
455;1;2022-02-03 00:30:00;2021-05-27;22;18
456;1;2022-02-03 00:30:00;2021-05-28;12;16
457;1;2022-02-03 00:30:00;2021-05-29;8;10
458;1;2022-02-03 00:30:00;2021-05-30;10;12
459;1;2022-02-03 00:30:00;2021-05-31;13;9
460;1;2022-02-03 00:30:00;2021-06-01;11;7
461;1;2022-02-03 00:30:00;2021-06-02;10;13
462;1;2022-02-03 00:30:00;2021-06-03;7;6
463;1;2022-02-03 00:30:00;2021-06-04;6;5
464;1;2022-02-03 00:30:00;2021-06-05;5;7
465;1;2022-02-03 00:30:00;2021-06-06;5;5
466;1;2022-02-03 00:30:00;2021-06-07;10;5
467;1;2022-02-03 00:30:00;2021-06-08;6;8
468;1;2022-02-03 00:30:00;2021-06-09;9;9
469;1;2022-02-03 00:30:00;2021-06-10;7;4
470;1;2022-02-03 00:30:00;2021-06-11;4;6
471;1;2022-02-03 00:30:00;2021-06-12;3;7
472;1;2022-02-03 00:30:00;2021-06-13;5;2
473;1;2022-02-03 00:30:00;2021-06-14;11;7
474;1;2022-02-03 00:30:00;2021-06-15;5;4
475;1;2022-02-03 00:30:00;2021-06-16;6;6
476;1;2022-02-03 00:30:00;2021-06-17;4;5
477;1;2022-02-03 00:30:00;2021-06-18;3;3
478;1;2022-02-03 00:30:00;2021-06-19;3;5
479;1;2022-02-03 00:30:00;2021-06-20;3;3
480;1;2022-02-03 00:30:00;2021-06-21;10;5
481;1;2022-02-03 00:30:00;2021-06-22;1;4
482;1;2022-02-03 00:30:00;2021-06-23;6;2
483;1;2022-02-03 00:30:00;2021-06-24;1;1
484;1;2022-02-03 00:30:00;2021-06-25;3;3
485;1;2022-02-03 00:30:00;2021-06-26;0;0
486;1;2022-02-03 00:30:00;2021-06-27;0;3
487;1;2022-02-03 00:30:00;2021-06-28;5;2
488;1;2022-02-03 00:30:00;2021-06-29;0;0
489;1;2022-02-03 00:30:00;2021-06-30;1;1
490;1;2022-02-03 00:30:00;2021-07-01;0;0
491;1;2022-02-03 00:30:00;2021-07-02;0;4
492;1;2022-02-03 00:30:00;2021-07-03;2;1
493;1;2022-02-03 00:30:00;2021-07-04;0;1
494;1;2022-02-03 00:30:00;2021-07-05;3;1
495;1;2022-02-03 00:30:00;2021-07-06;3;1
496;1;2022-02-03 00:30:00;2021-07-07;1;0
497;1;2022-02-03 00:30:00;2021-07-08;0;0
498;1;2022-02-03 00:30:00;2021-07-09;0;3
499;1;2022-02-03 00:30:00;2021-07-10;2;2
500;1;2022-02-03 00:30:00;2021-07-11;4;5
501;1;2022-02-03 00:30:00;2021-07-12;5;3
502;1;2022-02-03 00:30:00;2021-07-13;5;5
503;1;2022-02-03 00:30:00;2021-07-14;2;2
504;1;2022-02-03 00:30:00;2021-07-15;3;5
505;1;2022-02-03 00:30:00;2021-07-16;6;9
506;1;2022-02-03 00:30:00;2021-07-17;4;4
507;1;2022-02-03 00:30:00;2021-07-18;2;6
508;1;2022-02-03 00:30:00;2021-07-19;23;23
509;1;2022-02-03 00:30:00;2021-07-20;14;11
510;1;2022-02-03 00:30:00;2021-07-21;12;15
511;1;2022-02-03 00:30:00;2021-07-22;14;11
512;1;2022-02-03 00:30:00;2021-07-23;11;15
513;1;2022-02-03 00:30:00;2021-07-24;17;24
514;1;2022-02-03 00:30:00;2021-07-25;10;16
515;1;2022-02-03 00:30:00;2021-07-26;34;19
516;1;2022-02-03 00:30:00;2021-07-27;18;23
517;1;2022-02-03 00:30:00;2021-07-28;20;23
518;1;2022-02-03 00:30:00;2021-07-29;18;14
519;1;2022-02-03 00:30:00;2021-07-30;20;16
520;1;2022-02-03 00:30:00;2021-07-31;9;17
521;1;2022-02-03 00:30:00;2021-08-01;13;19
522;1;2022-02-03 00:30:00;2021-08-02;30;18
523;1;2022-02-03 00:30:00;2021-08-03;14;13
524;1;2022-02-03 00:30:00;2021-08-04;16;20
525;1;2022-02-03 00:30:00;2021-08-05;17;22
526;1;2022-02-03 00:30:00;2021-08-06;19;13
527;1;2022-02-03 00:30:00;2021-08-07;12;19
528;1;2022-02-03 00:30:00;2021-08-08;10;16
529;1;2022-02-03 00:30:00;2021-08-09;26;13
530;1;2022-02-03 00:30:00;2021-08-10;10;14
531;1;2022-02-03 00:30:00;2021-08-11;18;17
532;1;2022-02-03 00:30:00;2021-08-12;22;10
533;1;2022-02-03 00:30:00;2021-08-13;10;14
534;1;2022-02-03 00:30:00;2021-08-14;9;12
535;1;2022-02-03 00:30:00;2021-08-15;7;12
536;1;2022-02-03 00:30:00;2021-08-16;13;11
537;1;2022-02-03 00:30:00;2021-08-17;11;13
538;1;2022-02-03 00:30:00;2021-08-18;12;19
539;1;2022-02-03 00:30:00;2021-08-19;15;14
540;1;2022-02-03 00:30:00;2021-08-20;22;15
541;1;2022-02-03 00:30:00;2021-08-21;7;13
542;1;2022-02-03 00:30:00;2021-08-22;6;11
543;1;2022-02-03 00:30:00;2021-08-23;22;18
544;1;2022-02-03 00:30:00;2021-08-24;22;13
545;1;2022-02-03 00:30:00;2021-08-25;13;14
546;1;2022-02-03 00:30:00;2021-08-26;13;16
547;1;2022-02-03 00:30:00;2021-08-27;19;13
548;1;2022-02-03 00:30:00;2021-08-28;9;13
549;1;2022-02-03 00:30:00;2021-08-29;10;8
550;1;2022-02-03 00:30:00;2021-08-30;17;11
551;1;2022-02-03 00:30:00;2021-08-31;8;9
552;1;2022-02-03 00:30:00;2021-09-01;13;14
553;1;2022-02-03 00:30:00;2021-09-02;15;18
554;1;2022-02-03 00:30:00;2021-09-03;19;16
555;1;2022-02-03 00:30:00;2021-09-04;11;12
556;1;2022-02-03 00:30:00;2021-09-05;8;12
557;1;2022-02-03 00:30:00;2021-09-06;13;13
558;1;2022-02-03 00:30:00;2021-09-07;18;15
559;1;2022-02-03 00:30:00;2021-09-08;15;12
560;1;2022-02-03 00:30:00;2021-09-09;13;14
561;1;2022-02-03 00:30:00;2021-09-10;12;15
562;1;2022-02-03 00:30:00;2021-09-11;7;6
563;1;2022-02-03 00:30:00;2021-09-12;3;4
564;1;2022-02-03 00:30:00;2021-09-13;12;4
565;1;2022-02-03 00:30:00;2021-09-14;20;15
566;1;2022-02-03 00:30:00;2021-09-15;11;16
567;1;2022-02-03 00:30:00;2021-09-16;7;6
568;1;2022-02-03 00:30:00;2021-09-17;8;8
569;1;2022-02-03 00:30:00;2021-09-18;4;7
570;1;2022-02-03 00:30:00;2021-09-19;3;11
571;1;2022-02-03 00:30:00;2021-09-20;22;7
572;1;2022-02-03 00:30:00;2021-09-21;6;13
573;1;2022-02-03 00:30:00;2021-09-22;10;6
574;1;2022-02-03 00:30:00;2021-09-23;8;11
575;1;2022-02-03 00:30:00;2021-09-24;6;7
576;1;2022-02-03 00:30:00;2021-09-25;6;8
577;1;2022-02-03 00:30:00;2021-09-26;6;6
578;1;2022-02-03 00:30:00;2021-09-27;10;3
579;1;2022-02-03 00:30:00;2021-09-28;4;5
580;1;2022-02-03 00:30:00;2021-09-29;8;7
581;1;2022-02-03 00:30:00;2021-09-30;6;4
582;1;2022-02-03 00:30:00;2021-10-01;7;9
583;1;2022-02-03 00:30:00;2021-10-02;1;8
584;1;2022-02-03 00:30:00;2021-10-03;6;8
585;1;2022-02-03 00:30:00;2021-10-04;15;13
586;1;2022-02-03 00:30:00;2021-10-05;13;6
587;1;2022-02-03 00:30:00;2021-10-06;11;13
588;1;2022-02-03 00:30:00;2021-10-07;6;6
589;1;2022-02-03 00:30:00;2021-10-08;10;11
590;1;2022-02-03 00:30:00;2021-10-09;6;12
591;1;2022-02-03 00:30:00;2021-10-10;7;10
592;1;2022-02-03 00:30:00;2021-10-11;22;12
593;1;2022-02-03 00:30:00;2021-10-12;7;7
594;1;2022-02-03 00:30:00;2021-10-13;9;12
595;1;2022-02-03 00:30:00;2021-10-14;9;11
596;1;2022-02-03 00:30:00;2021-10-15;12;10
597;1;2022-02-03 00:30:00;2021-10-16;8;10
598;1;2022-02-03 00:30:00;2021-10-17;6;18
599;1;2022-02-03 00:30:00;2021-10-18;23;14
600;1;2022-02-03 00:30:00;2021-10-19;19;18
601;1;2022-02-03 00:30:00;2021-10-20;19;21
602;1;2022-02-03 00:30:00;2021-10-21;10;13
603;1;2022-02-03 00:30:00;2021-10-22;25;24
604;1;2022-02-03 00:30:00;2021-10-23;7;7
605;1;2022-02-03 00:30:00;2021-10-24;12;20
606;1;2022-02-03 00:30:00;2021-10-25;20;15
607;1;2022-02-03 00:30:00;2021-10-26;20;22
608;1;2022-02-03 00:30:00;2021-10-27;26;21
609;1;2022-02-03 00:30:00;2021-10-28;28;23
610;1;2022-02-03 00:30:00;2021-10-29;21;27
611;1;2022-02-03 00:30:00;2021-10-30;7;13
612;1;2022-02-03 00:30:00;2021-10-31;19;23
613;1;2022-02-03 00:30:00;2021-11-01;30;24
614;1;2022-02-03 00:30:00;2021-11-02;32;34
615;1;2022-02-03 00:30:00;2021-11-03;29;29
616;1;2022-02-03 00:30:00;2021-11-04;30;26
617;1;2022-02-03 00:30:00;2021-11-05;29;27
618;1;2022-02-03 00:30:00;2021-11-06;14;33
619;1;2022-02-03 00:30:00;2021-11-07;29;36
620;1;2022-02-03 00:30:00;2021-11-08;43;19
621;1;2022-02-03 00:30:00;2021-11-09;28;34
622;1;2022-02-03 00:30:00;2021-11-10;33;37
623;1;2022-02-03 00:30:00;2021-11-11;37;34
624;1;2022-02-03 00:30:00;2021-11-12;32;44
625;1;2022-02-03 00:30:00;2021-11-13;24;25
626;1;2022-02-03 00:30:00;2021-11-14;25;35
627;1;2022-02-03 00:30:00;2021-11-15;51;37
628;1;2022-02-03 00:30:00;2021-11-16;55;50
629;1;2022-02-03 00:30:00;2021-11-17;43;38
630;1;2022-02-03 00:30:00;2021-11-18;40;50
631;1;2022-02-03 00:30:00;2021-11-19;44;38
632;1;2022-02-03 00:30:00;2021-11-20;30;40
633;1;2022-02-03 00:30:00;2021-11-21;45;48
634;1;2022-02-03 00:30:00;2021-11-22;66;59
635;1;2022-02-03 00:30:00;2021-11-23;49;45
636;1;2022-02-03 00:30:00;2021-11-24;48;50
637;1;2022-02-03 00:30:00;2021-11-25;59;56
638;1;2022-02-03 00:30:00;2021-11-26;50;52
639;1;2022-02-03 00:30:00;2021-11-27;36;59
640;1;2022-02-03 00:30:00;2021-11-28;39;53
641;1;2022-02-03 00:30:00;2021-11-29;86;55
642;1;2022-02-03 00:30:00;2021-11-30;55;55
643;1;2022-02-03 00:30:00;2021-12-01;63;64
644;1;2022-02-03 00:30:00;2021-12-02;57;43
645;1;2022-02-03 00:30:00;2021-12-03;37;41
646;1;2022-02-03 00:30:00;2021-12-04;38;42
647;1;2022-02-03 00:30:00;2021-12-05;34;49
648;1;2022-02-03 00:30:00;2021-12-06;70;51
649;1;2022-02-03 00:30:00;2021-12-07;50;54
650;1;2022-02-03 00:30:00;2021-12-08;51;60
651;1;2022-02-03 00:30:00;2021-12-09;59;52
652;1;2022-02-03 00:30:00;2021-12-10;52;48
653;1;2022-02-03 00:30:00;2021-12-11;20;25
654;1;2022-02-03 00:30:00;2021-12-12;37;47
655;1;2022-02-03 00:30:00;2021-12-13;61;44
656;1;2022-02-03 00:30:00;2021-12-14;38;31
657;1;2022-02-03 00:30:00;2021-12-15;29;38
658;1;2022-02-03 00:30:00;2021-12-16;34;39
659;1;2022-02-03 00:30:00;2021-12-17;46;47
660;1;2022-02-03 00:30:00;2021-12-18;29;26
661;1;2022-02-03 00:30:00;2021-12-19;28;31
662;1;2022-02-03 00:30:00;2021-12-20;46;37
663;1;2022-02-03 00:30:00;2021-12-21;28;32
664;1;2022-02-03 00:30:00;2021-12-22;23;18
665;1;2022-02-03 00:30:00;2021-12-23;36;24
666;1;2022-02-03 00:30:00;2021-12-24;14;26
667;1;2022-02-03 00:30:00;2021-12-25;23;28
668;1;2022-02-03 00:30:00;2021-12-26;26;30
669;1;2022-02-03 00:30:00;2021-12-27;48;38
670;1;2022-02-03 00:30:00;2021-12-28;31;27
671;1;2022-02-03 00:30:00;2021-12-29;23;19
672;1;2022-02-03 00:30:00;2021-12-30;23;25
673;1;2022-02-03 00:30:00;2021-12-31;22;16
674;1;2022-02-03 00:30:00;2022-01-01;12;21
675;1;2022-02-03 00:30:00;2022-01-02;26;24
676;1;2022-02-03 00:30:00;2022-01-03;38;32
677;1;2022-02-03 00:30:00;2022-01-04;19;14
678;1;2022-02-03 00:30:00;2022-01-05;17;15
679;1;2022-02-03 00:30:00;2022-01-06;21;21
680;1;2022-02-03 00:30:00;2022-01-07;14;15
681;1;2022-02-03 00:30:00;2022-01-08;16;20
682;1;2022-02-03 00:30:00;2022-01-09;22;28
683;1;2022-02-03 00:30:00;2022-01-10;31;23
684;1;2022-02-03 00:30:00;2022-01-11;22;13
685;1;2022-02-03 00:30:00;2022-01-12;10;11
686;1;2022-02-03 00:30:00;2022-01-13;10;13
687;1;2022-02-03 00:30:00;2022-01-14;17;14
688;1;2022-02-03 00:30:00;2022-01-15;7;13
689;1;2022-02-03 00:30:00;2022-01-16;13;11
690;1;2022-02-03 00:30:00;2022-01-17;10;9
691;1;2022-02-03 00:30:00;2022-01-18;10;7
692;1;2022-02-03 00:30:00;2022-01-19;16;16
693;1;2022-02-03 00:30:00;2022-01-20;13;12
694;1;2022-02-03 00:30:00;2022-01-21;10;9
695;1;2022-02-03 00:30:00;2022-01-22;4;5
696;1;2022-02-03 00:30:00;2022-01-23;7;9
697;1;2022-02-03 00:30:00;2022-01-24;17;12
698;1;2022-02-03 00:30:00;2022-01-25;13;14
699;1;2022-02-03 00:30:00;2022-01-26;14;9
700;1;2022-02-03 00:30:00;2022-01-27;14;21
701;1;2022-02-03 00:30:00;2022-01-28;17;7
702;1;2022-02-03 00:30:00;2022-01-29;5;7
703;1;2022-02-03 00:30:00;2022-01-30;8;10
704;1;2022-02-03 00:30:00;2022-01-31;12;19
705;1;2022-02-03 00:30:00;2022-02-01;18;13
706;1;2022-02-03 00:30:00;2022-02-02;18;9
